provinsi;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;Angkutan Darat;Angkutan Laut ;Angkutan Rel ;Angkutan Sungai Danau dan Penyeberangan;Angkutan Udara;Asuransi dan Dana Pensiun;Industri Alat Angkutan;Industri Barang Galian bukan Logam;Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik;Industri Batubara dan Pengilangan Migas;Industri Furnitur;Industri Karet, Barang dari Karet dan Plastik;Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ;Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ;Industri Kimia, Farmasi dan Obat Tradisional;Industri Kulit, Barang dari Kulit dan Alas Kaki ;Industri Logam Dasar ;Industri Makanan dan Minuman ;Industri Mesin dan Perlengkapan YTDL;Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Industri Pengolahan Tembakau;Industri Tekstil dan Pakaian Jadi;Jasa Informasi dan Komunikasi;Jasa Kesehatan dan Kegiatan Sosial;Jasa Keuangan Lainnya;Jasa Lainnya;Jasa Pendidikan;Jasa Penunjang Keuangan;Jasa Perantara Keuangan Selain Bank Sentral;Jasa Pertanian dan Perburuan  ;Jasa Perusahaan;Kehutanan dan Penebangan Kayu;Ketenagalistrikan ;Konstruksi;Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang;Pengadaan Gas dan Produksi Es;Penyediaan Akomodasi ;Penyediaan Makan Minum;Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor;Perdagangan Mobil, Sepeda Motor dan Reparasinya;Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir;Perikanan ;Perkebunan Semusim dan Tahunan;Pertambangan Batubara dan Lignit;Pertambangan Bijih Logam;Pertambangan Minyak, Gas dan Panas Bumi;Pertambangan dan Penggalian Lainnya;Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya;Pertanian Tanaman Pangan ;Peternakan ;Real Estate
Aceh;0.0;460.22599583181017;93.34853459313157;0.0;64.99337188451506;223.64601122994546;25.95506336217902;0.6834975758736127;14.713354110484746;42.23767817130606;0.0;53.726893038859906;0.19734438057590373;7.401452038355874;5.1978583329760735;55.491358597422284;17.788827914163843;0.0;1929.0513649781185;0.029488111430870816;81.79388122635464;88.32352138907873;206.48801351266292;156.0678494323495;451.2840104833561;20.89895388276449;354.22784269073145;30.591616519280382;9.686470501004758;144.2363478740419;1.752115091568709;45.78841023082469;-37.3144838116009;37.232148562904825;36.22369913910003;68.84903694504122;0.04889688956261019;79.92372768412748;186.58869528229403;1531.4384185009997;270.8109485375556;15.929539129589426;613.3802724650478;1857.035445789582;1.948716602571965;0.360620020415867;43.14076178679332;154.84244944590128;1938.4442143792344;277.99512725552984;131.46624682525032;151.51260075202453
Bali;19.800659352230607;435.77679507415127;2.9953035008080335;0.0;178.45008241497177;14825.407309109301;55.219386240779464;22.67121152474117;11.409787987476768;28.605895099292763;0.0;37.665400241050015;1.3468103095290895;14.4470144065409;9.797171542405252;18.747338303195043;312.97351045795284;0.0;69.5817745247146;1.455760529799281;1727.5956645455633;22.510570732742853;610.821286859377;142.99680338840574;300.58727529581404;33.32737838333569;787.6509983266939;197.62413167415122;2.390583291796805;213.22206183425897;0.0;43.25757298617501;0.0;0.0020751406159744182;0.12516218067653762;58.346228652194704;0.004639194351833464;3977.4633816949495;1487.0606806006735;856.7620026391447;1145.3508913723683;148.3295876383557;77.53476943255691;316.67932837332097;0.0;0.0;0.0;262.9238173244173;473.55103622718565;0.6313904994962226;504.4237989321817;1005.1550652171643
Banten;2051.818683104514;4873.014398530719;38.15440587856742;235.6085805722598;1073.5316701071272;68445.78511950237;401.1245269147383;892.8892633945027;87.07504642402941;24401.993493318078;89.09289083113914;1684.1201731121237;4430.602856173147;55.21726180048459;2107.5608878156954;7470.429740029243;192.82072711107708;2319.169732189633;14425.680447942703;4682.944548086758;4995.855740295657;0.0;2263.580013521317;1683.1053028417325;1399.0942653025584;118.99798085303165;432.42817320892215;3692.4510279506503;206.99514892915562;277.6158749707639;0.10051514682816587;260.1852114670643;0.2608219926673734;3689.687401181012;586.1483807182552;293.6719754842055;1.9626522024964475;246.13149876929393;1297.9367463907856;8850.0961640571;3803.610804857567;817.3952041760788;386.7085713550606;102.39252601882839;0.15629364162370749;0.0;0.17061523541336296;0.002208018455575563;42.2743655704301;68.46023958044496;581.0444599378511;21009.209298338945
Bengkulu;81.12025788227112;383.02562816625834;119.93718323719342;0.0;33.52565424618606;215.60089700460796;0.0;11.483220129231672;0.3891015151168484;6.495638135012607;0.0;122.56240633067884;11.574764520725122;1.8508334736060101;6.1380282980525935;0.006039001794798556;23.977027393461444;0.0013158010956889645;1341.2038512707381;0.0;60.361216538003774;0.0;35.38648650442992;0.831941981333435;20.41576787489962;0.022684745254503747;258.623467194551;49.492677504970594;0.7303476088175621;215.12728922924958;2.9937115535529104;1.6869684312890236;0.7292703887717529;7.770924355531141;334.4195494856709;20.54769720120707;0.0;38.69414279777774;215.74114843116325;797.4806795531856;165.45834488527757;24.846272674819758;1137.6111488223112;312.6432742242873;-1.0894902153522683;0.00021063622539249345;0.0;6.2366072535702335;2560.064164824325;44.14318819395087;604.0104423369452;17.783356112920362
DI Yogyakarta;92.81609641393632;1140.852045502067;0.0;343.2391885894458;0.0001407699667122272;3763.6813960144204;136.6830497974003;141.36950061969983;24.366300753186678;555.2706320598516;56.81278426181544;635.8759530953959;29.011389904831844;95.96559388138576;47.553127714228914;120.54792308727012;275.11488557462417;0.0;1258.1879805564859;29.50983391601337;998.7475433318998;2.1592808554465193;1401.7466929321852;1541.827530847257;979.2887643226613;56.76206963742541;634.1950380033334;3586.221794419279;62.537433480736986;442.4314102102096;1.5207679294198755;284.53873875021304;2.8857779105681356;37.644021950404586;236.49988000766487;70.64492771297607;0.004567033888938774;1604.289857517421;5153.18239243278;766.1255096561575;251.6609447643731;318.96743019625757;4.415623719197088;31.527677417926785;0.0;0.0;0.0;0.9952760260401055;276.1865187428573;416.81064562254113;28.223222426472905;759.635608643755
DKI Jakarta;16486.23758153174;9132.15738860199;1819.553032354253;690.8493170383681;21.616268162176567;1830.9209278994972;15735.025242175112;91556.22231949843;75.9165156729463;25809.533777610966;671.820464176998;590.1573598372347;292.907891477677;5.19677546529854;646.9204617912751;21814.554290121036;509.07700748268036;396.3118892700026;10867.751996786725;350.51554457792355;1231.9356624714294;0.0;15822.354189586325;26872.77765476769;15524.192771986263;2748.846092315264;21738.15167431788;17911.512623667055;5992.196697765585;5028.390036628865;0.07997771169650952;8980.081994339751;0.0;166.1313529347315;50735.53401558371;0.0;18.44148202685934;877.9210202590699;15026.571625355356;35470.24488552955;6608.615493687709;5008.599651986779;0.0;0.0;0.0;0.0;66.63776488691646;0.0;0.0;0.0;0.0;14946.586525741772
Gorontalo;212.1086538169013;32.54332542502674;8.211784350841894;0.0;14.86447079204684;141.32784523196875;39.34318111497691;8.403525810261351;0.06493422707737612;1.6534995139328155;0.0;149.0189309593224;0.08866272035689622;11.198989537260163;1.5706998171693942;2.867067341001787;0.002592553730698382;6.537766272933056e-05;6.841153142521719;2.8322764584245372;73.66405204655652;0.1847852720167371;5.215052050216329;4.293725707136026;20.10844509775239;11.625020594426337;8.440364770993352;1.6389182147125223;0.03273902274003803;95.93158097896317;0.09561092808611263;1.5585724142686157;0.028092253869146846;12.243041760581324;0.7819450269519391;0.37595249760893645;0.010983378045836989;21.990467228776055;170.19323783618717;196.94295849234624;95.63689581900573;15.410657003810684;54.37106173174077;9.860076771039653;0.0;3.3832888200625886e-05;0.0;0.6395066519788248;9.548870162322642;884.9338809106813;1.6128957614335002;28.656059618702134
Jambi;0.0;387.2005716087295;246.4361411475118;0.0;123.3272827436678;787.115469913082;138.01500845898317;9.0841365656905e-13;-0.6542037374730928;212.43756819325608;882.285430787075;6.3484763548874374;148.37325886443725;95.8380017609494;91.69079195117288;5.963952519365832;91.28844523047101;0.876185685378686;7247.301621619277;0.0;0.018720849580330434;0.3340248457107814;12.425979469237705;568.5128285352555;339.2827728127898;51.427687207226434;694.2168414708902;10.445450382983237;9.714035342878615;216.4215868179302;0.14599763751543904;14.624718723423433;71.48574170487976;182.33200970217035;0.25711834520111665;11.299149617145765;0.0;251.83371236825587;640.7519960616168;2065.1248746744004;693.4233538621702;128.34305051889746;331.34031462914487;525.3493933724576;5.190715471230554;0.00010339680454569249;-0.034427289527185476;24.53581297984069;655.6105163425785;59.87901849840592;604.8317799509044;582.0452116119916
Jawa Barat;918.9655560070682;3745.1393585365695;72.05230432013752;234.25384413768776;0.41767742887953485;1678.863674300392;268.61620437360585;59133.58122293263;74.8157776299526;28745.877228438938;2923.539992308526;660.2834204798844;274.49528346403156;300.38787145212865;747.4556817703724;2508.9387061000293;7460.151649824744;26.005652183986633;9636.160093761539;77269.27760589683;14094.885383552748;751.4842623818317;14275.43818165051;1091.6494686054764;3581.15377451674;106.33127799383344;3054.196379912512;3572.2310354376336;109.22941466858938;600.3947964895283;2.0609580792495343;344.56905448169186;4.789617226721864;159.2678415157628;1129.4390315198289;563.2047952832556;9.126515899438848;1033.444193026068;2242.976856266806;27207.427682551734;4446.971694003873;211.56603199759692;526.3543995825092;414.51078684938125;0.0;0.28067131344397955;9.49010127723174;18.57378118511995;6779.207168762501;659.1473568877921;1383.453563582235;440.9949933563106
Jawa Tengah;1012.1875533841977;3503.357439009049;963.1358089381122;133.8760229014152;85.85302755662082;1472.0593235730748;151.8309434099887;82.71195141329595;97.51887602071965;47.09993524856789;15878.818411719854;489.7945149789712;18.82511397672462;141.13195143223024;71.64707600388739;84.69222938173586;5613.975062372092;3.848880083448129;21012.018106080843;43.115972471775486;3148.630046840294;83286.80503743004;11362.408097791289;243.87247627927482;1084.7552303910013;188.25584828928615;3711.942043798509;2121.913286962917;9.977225195594686;926.3739067998397;2.331693137542067;66.87750043283344;0.7228787963415755;2076.740935907915;2730.5084447020486;274.22095538786925;0.06203957479037737;949.1110014476569;4057.1873039407083;12506.912691917893;4274.282223887914;163.4113852336619;5.394514839984597;260.5359251723405;0.0;0.0;7.040169183438136;283.76409467830587;12470.69417071762;1455.7126780869469;4552.287409197891;2625.750583860424
