provinsi;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;Angkutan Darat;Angkutan Laut ;Angkutan Rel ;Angkutan Sungai Danau dan Penyeberangan;Angkutan Udara;Asuransi dan Dana Pensiun;Industri Alat Angkutan;Industri Barang Galian bukan Logam;Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik;Industri Batubara dan Pengilangan Migas;Industri Furnitur;Industri Karet, Barang dari Karet dan Plastik;Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ;Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ;Industri Kimia, Farmasi dan Obat Tradisional;Industri Kulit, Barang dari Kulit dan Alas Kaki ;Industri Logam Dasar ;Industri Makanan dan Minuman ;Industri Mesin dan Perlengkapan YTDL;Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Industri Pengolahan Tembakau;Industri Tekstil dan Pakaian Jadi;Jasa Informasi dan Komunikasi;Jasa Kesehatan dan Kegiatan Sosial;Jasa Keuangan Lainnya;Jasa Lainnya;Jasa Pendidikan;Jasa Penunjang Keuangan;Jasa Perantara Keuangan Selain Bank Sentral;Jasa Pertanian dan Perburuan  ;Jasa Perusahaan;Kehutanan dan Penebangan Kayu;Ketenagalistrikan ;Konstruksi;Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang;Pengadaan Gas dan Produksi Es;Penyediaan Akomodasi ;Penyediaan Makan Minum;Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor;Perdagangan Mobil, Sepeda Motor dan Reparasinya;Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir;Perikanan ;Perkebunan Semusim dan Tahunan;Pertambangan Batubara dan Lignit;Pertambangan Bijih Logam;Pertambangan Minyak, Gas dan Panas Bumi;Pertambangan dan Penggalian Lainnya;Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya;Pertanian Tanaman Pangan ;Peternakan ;Real Estate
Aceh;21472493.0;2480222.0;358198.0;0.0;78453.0;1432042.0;82473.0;60604.0;13066.0;961320.0;0.0;653206.0;83416.0;30224.0;26259.0;1454164.0;43357.0;0.0;7802109.0;83209.0;1209372.0;88326.0;1539818.0;3600790.0;4785908.0;28497.0;2755789.0;11258519.0;9739.0;1271546.0;4321.0;694265.0;49839.0;1092760.0;27665684.0;299615.0;1303.0;236264.0;6109999.0;14282202.0;1764642.0;304070.0;6575697.0;6961975.0;73862.0;1834.0;43141.0;788081.0;5366052.0;641281.0;3212388.0;4637956.0
Bali;11238887.0;3248642.0;524509.0;0.0;1326287.0;21294689.0;780247.0;26485.0;597027.0;620744.0;0.0;1248158.0;129050.0;803046.0;323870.0;221350.0;1051052.0;0.0;6252349.0;14719.0;4650402.0;23419.0;3152468.0;7482113.0;7060291.0;244786.0;9801265.0;11102283.0;179898.0;3421130.0;3135.0;1742092.0;28230.0;836194.0;39151715.0;589191.0;32.0;32922717.0;26559697.0;11795907.0;3628409.0;1817224.0;1715331.0;877077.0;0.0;0.0;0.0;279250.0;3613664.0;596577.0;4330926.0;9288412.0
Banten;13124945.0;20626274.0;90165.0;302086.0;1638747.0;81099878.0;2006985.0;9789335.0;1904347.0;37602444.0;626321.0;3783113.0;15610845.0;1311268.0;6959979.0;50652656.0;30251132.0;15878325.0;55996860.0;7084535.0;6643276.0;0.0;20348154.0;16656680.0;9920081.0;211980.0;9229940.0;22001216.0;297716.0;6475247.0;18880.0;2641593.0;59229.0;8149514.0;100093651.0;1100468.0;1231.0;697382.0;37654478.0;40499228.0;8345989.0;3579318.0;2456062.0;457685.0;1769.0;0.0;1772.0;61478.0;2126842.0;400804.0;6929206.0;50221581.0
Bengkulu;6662792.0;1429104.0;438734.0;0.0;56361.0;1684132.0;74635.0;11565.0;22141.0;147784.0;0.0;405555.0;464567.0;12501.0;9485.0;197.0;77709.0;37.0;7717731.0;0.0;159678.0;0.0;73768.0;1372663.0;1861005.0;168089.0;1473399.0;3768492.0;782.0;617544.0;3004.0;474015.0;60185.0;270875.0;8819725.0;87301.0;0.0;81305.0;2279635.0;5162347.0;1148578.0;79835.0;2416070.0;2546066.0;1188673.0;10371.0;0.0;330441.0;4010973.0;166442.0;604010.0;2018872.0
DI Yogyakarta;9470902.0;3548636.0;0.0;361262.0;373.0;13030947.0;370129.0;141854.0;92624.0;666066.0;56813.0;1896654.0;279878.0;412477.0;374034.0;309722.0;1169609.0;0.0;10556646.0;1048660.0;1633488.0;493020.0;4274577.0;6530314.0;5587161.0;128398.0;5006944.0;14717087.0;63019.0;1255289.0;1521.0;832045.0;37519.0;325366.0;20583235.0;215256.0;10.0;2362460.0;12677768.0;7133035.0;1463786.0;836629.0;938985.0;299099.0;0.0;0.0;0.0;19588.0;2134608.0;770824.0;2125478.0;4793262.0
DKI Jakarta;194324086.0;56317759.0;14016433.0;1526822.0;62515.0;23495271.0;45909403.0;195752920.0;1724531.0;43240833.0;2602110.0;3120521.0;3868612.0;629366.0;2525680.0;32110888.0;1890385.0;18817356.0;45978137.0;3860365.0;17228075.0;0.0;37334555.0;106185741.0;62920033.0;5692444.0;121210449.0;97270693.0;9551013.0;57416044.0;22098.0;94819612.0;0.0;14502266.0;671864651.0;4698406.0;92659.0;20254636.0;144428479.0;185231076.0;43333480.0;19973072.0;3142429.0;0.0;0.0;0.0;419552.0;0.0;972705.0;1975.0;257256.0;154577373.0
Gorontalo;4865799.0;1361461.0;118651.0;0.0;48316.0;948809.0;236322.0;18247.0;14743.0;31485.0;0.0;387803.0;430.0;41938.0;5423.0;10815.0;967.0;64.0;2881978.0;3549.0;95041.0;185.0;76157.0;510448.0;1193639.0;143386.0;611887.0;2200121.0;150.0;305088.0;96.0;75347.0;17469.0;179360.0;5870904.0;59058.0;11.0;122684.0;1534592.0;2892967.0;505139.0;48892.0;2005653.0;741281.0;0.0;30.0;0.0;252433.0;650641.0;1140043.0;582929.0;1125580.0
Jambi;8259056.0;2153272.0;850224.0;0.0;211872.0;2925295.0;338947.0;2240208.0;231071.0;213377.0;2783064.0;495229.0;5131524.0;619146.0;4460359.0;165481.0;91563.0;24509.0;16338872.0;92454.0;122488.0;350.0;106938.0;3416751.0;2480347.0;221823.0;2084591.0;6298218.0;10777.0;1076926.0;4325.0;810011.0;-49077.0;1293658.0;14645978.0;268392.0;925.0;315402.0;4690527.0;12110427.0;4337059.0;207399.0;2060354.0;6564406.0;1194416.0;3.0;12119722.0;339927.0;3787622.0;262262.0;2175356.0;4124391.0
Jawa Barat;49657580.0;60314166.0;757775.0;1164709.0;5310.0;7165026.0;4345798.0;133804770.0;3810257.0;156197714.0;26715153.0;11568520.0;26781321.0;3491084.0;16440121.0;52848516.0;38667665.0;3769526.0;168668435.0;116539416.0;44104401.0;4407261.0;109569328.0;42220786.0;35495484.0;2341401.0;50186019.0;85022502.0;711937.0;10259777.0;53033.0;8701546.0;171469.0;13647479.0;287817964.0;4794829.0;133661.0;9819819.0;119438768.0;158733431.0;37441243.0;3574752.0;17256198.0;3734611.0;0.0;8376.0;4714906.0;1258848.0;29230248.0;7469117.0;12382627.0;95146387.0
Jawa Tengah;39089921.0;26051073.0;2812346.0;1110322.0;143757.0;12275103.0;1960078.0;3824504.0;1045079.0;6817402.0;36810992.0;11885708.0;3691371.0;13261936.0;1828480.0;14947908.0;10981622.0;1012282.0;133568932.0;4441540.0;13548654.0;120604570.0;52886321.0;22966143.0;25887443.0;1341798.0;32078861.0;62724337.0;45304.0;8890864.0;21819.0;4081119.0;275838.0;8398847.0;258485839.0;1662074.0;70.0;3818352.0;74295962.0;84824736.0;17020858.0;1368222.0;6481697.0;2380434.0;0.0;0.0;62453.0;1010974.0;34587613.0;5756862.0;20349686.0;35220509.0
