provinsi;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;Angkutan Darat;Angkutan Laut ;Angkutan Rel ;Angkutan Sungai Danau dan Penyeberangan;Angkutan Udara;Asuransi dan Dana Pensiun;Industri Alat Angkutan;Industri Barang Galian bukan Logam;Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik;Industri Batubara dan Pengilangan Migas;Industri Furnitur;Industri Karet, Barang dari Karet dan Plastik;Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ;Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ;Industri Kimia, Farmasi dan Obat Tradisional;Industri Kulit, Barang dari Kulit dan Alas Kaki ;Industri Logam Dasar ;Industri Makanan dan Minuman ;Industri Mesin dan Perlengkapan YTDL;Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Industri Pengolahan Tembakau;Industri Tekstil dan Pakaian Jadi;Jasa Informasi dan Komunikasi;Jasa Kesehatan dan Kegiatan Sosial;Jasa Keuangan Lainnya;Jasa Lainnya;Jasa Pendidikan;Jasa Penunjang Keuangan;Jasa Perantara Keuangan Selain Bank Sentral;Jasa Pertanian dan Perburuan  ;Jasa Perusahaan;Kehutanan dan Penebangan Kayu;Ketenagalistrikan ;Konstruksi;Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang;Pengadaan Gas dan Produksi Es;Penyediaan Akomodasi ;Penyediaan Makan Minum;Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor;Perdagangan Mobil, Sepeda Motor dan Reparasinya;Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir;Perikanan ;Perkebunan Semusim dan Tahunan;Pertambangan Batubara dan Lignit;Pertambangan Bijih Logam;Pertambangan Minyak, Gas dan Panas Bumi;Pertambangan dan Penggalian Lainnya;Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya;Pertanian Tanaman Pangan ;Peternakan ;Real Estate
Aceh;13346851.322275043;3444492.9514483353;336640.10054384335;0.0;68742.92227935191;995669.6848042454;84162.91594771361;28664.006265775257;911459.8374751445;768401.2975421367;0.0;368637.12970036373;111570.01052497135;365449.24148931785;82412.56653196028;1475274.9529077224;23346.28355415776;7230.916919466473;3681767.2825453714;35118.883734763134;607337.8019001203;48154.68415020447;651347.6675276945;3375741.2088532746;2927881.291598015;131562.29086281487;2567823.679888187;7676180.886242593;30754.64162896842;2638680.947937958;726496.8213230316;1608122.7440250232;1999586.6101917743;536749.3586124295;13119195.012468794;282307.8735285343;53013.46199820213;273752.4521433125;2880711.82187252;17040924.753753975;2483962.4204132603;402782.70586559357;6732957.205807153;10247247.968196305;285164.8057371937;215655.1246571382;2173681.3618343133;3408478.739480906;5883898.869499674;5870077.53234134;4150957.82701328;7387446.602241825
Bali;6424449.757034956;3407886.932123481;198385.06470083143;0.0;1168116.4169127122;11515774.336194972;804905.3309849361;13326.128872456959;827061.558374046;298527.29347478796;0.0;663232.0234113222;54096.027962803186;1680046.0203975057;381768.1083840912;100321.10897341435;488788.779353053;0.0;3097916.342918929;6911.91429903019;2851340.0035686977;19038.040914590307;1324070.5794594812;9959171.186912509;4015475.9304186674;688951.2858376333;7455167.060246705;8193062.610840749;469615.6379977302;8363506.133335819;321127.85397324845;4727693.893573963;265886.30394380057;484949.13990327343;16128279.036371833;546899.8598486314;7805.079258823545;26989285.894933693;15760616.883821066;14333350.565645674;5404113.465045435;2365135.1287401537;2174716.7885602354;1941340.5750630149;0.0;0.0;0.0;2048630.5881746158;4492158.58525824;2902450.754464307;6474587.007914361;10986570.572431264
Banten;9104339.962854624;17397223.884850174;85003.86711164637;272056.1026788112;2092844.8952327059;50286450.765819155;3327229.713703883;8721706.195799328;9708243.20480035;29798526.88539814;937659.4729673277;2235297.623631218;19860893.435529005;728584.7145253377;11706017.44291151;36083489.350617126;18002339.383799914;16272947.02349862;25740789.597368788;3295362.2711159764;2895244.4107045196;0.0;17437771.075315658;22150042.011676706;5693161.18075604;593073.8873828759;8316473.183278353;14849881.704200977;612246.6103292162;11860190.85795393;233224.02684421785;10916285.098676337;157964.59054364363;8706619.438705169;54193534.9306394;689348.7423001769;4976531.598086985;840047.3981402082;18953706.92382733;56784489.085641555;12643865.025995811;9341935.055421976;3045649.700917044;2096852.161745386;135569.17181593535;359042.3722858495;114636.86319625436;4232234.214183352;2328979.7611279045;6031612.9663001085;9658601.528791262;46728956.63607881
Bengkulu;4483015.971388369;1668098.8990772632;378305.33729396807;0.0;52480.182084361666;802137.1306555787;81380.4054576676;7249.904901204726;51031.09365109346;145060.60548889413;0.0;390730.8662142162;358735.04724357097;52879.100067691485;20927.17639945979;266.7831458624669;33477.217133584105;7878.358744063611;3872510.1917328592;0.0;115681.41598930489;0.0;25918.48092761488;1758024.0186356653;977903.3189654702;278174.24572909786;1212662.7183738663;2714724.563705466;2965.3540477846636;2146593.044463805;298748.4375742007;1195540.916296876;140070.0819349434;108276.5229482836;3735413.764535753;92678.73264131813;2521.11114151824;125189.71345751236;1067497.7899386187;6020440.062188301;1303231.0576782878;166742.2993810039;2799166.840616278;5920618.924061912;1227930.0135734212;24298.76614282873;0.0;1143160.572927455;3812816.086567439;1263631.5492782127;560958.8944088556;2044150.5421089449
DI Yogyakarta;3613760.1867023297;4287300.875584726;0.0;327944.71169679426;572.1905415715914;7532344.060668613;370838.98409794876;85017.04363658362;739729.2800304152;560907.240009693;134701.2468783095;1105618.8219661315;221500.3120890667;620755.4347912957;425148.8377905994;259580.2106731257;679938.4121579798;0.0;5353899.178640189;533983.0767005327;935557.3345165146;375045.63358390157;2007713.4376865856;8778409.943192717;3523122.7679014904;609269.5491458508;4011293.6607978027;10981183.833956352;134203.7099706943;3560443.279097325;212663.37827126394;3022763.156798078;1031192.8704478095;75315.11098502952;9863379.99357881;208280.6839329873;7202.80515397064;3312657.7943097805;8750419.031559903;8885100.52633289;2283885.849041395;1907528.6014582498;1268379.3673849513;719157.5533161742;0.0;122.44075822334241;0.0;643542.4327142804;2668177.7281224336;5496700.834243232;2503781.3354750876;5672460.3154600905
DKI Jakarta;107055101.47752249;58040276.11405;6007600.19851662;1167722.106409953;53675.57281103299;10890087.693034973;47230957.95405347;133963300.3445239;7050869.134350761;30626686.56431564;3293653.097900366;1938196.2077032013;4967430.0597804;622059.1515760956;5995652.257305517;30450775.236541;1008677.3328953389;14520401.68606658;18635033.205903955;1829643.1432011733;10509359.035944982;0.0;21292779.61547751;154047327.5550387;28137539.250859044;24054559.214609817;93505258.22094955;57988312.39531519;30432122.311560195;117878280.83943366;70355.56572043129;206691327.041958;0.0;7249432.754421042;254738681.77899578;3172948.652955305;3557297.1396003026;17558504.64259527;85660709.99202085;273062019.0438693;60038500.53896932;37950502.372118525;2795126.7722323993;0.0;0.0;0.0;7483942.185920248;0.0;1043005.9160923447;13827.690419933546;198643.31118337586;165562543.38398626
Gorontalo;2874217.27836729;1314687.1779302617;72561.65637846412;0.0;50128.782973624315;601694.0986250262;251953.23807241046;10204.797416806936;106454.59096610355;22798.436588113043;0.0;230912.69862976053;422.9074434961627;118213.45622339282;15275.824036413593;11746.629497071463;430.1704160222318;3962.4452295046026;762964.3736855235;1299.4086567666052;58566.77592310929;131.434958060937;32378.21718872913;668135.8759967535;667253.589763297;242171.3598297913;532856.6323540034;1524013.1852721213;3600.2743395046073;988725.7811643003;97738.13744276359;498638.55523786397;125365.19404740712;107371.12407496478;3311141.587732765;44608.0440111651;10862.343686918239;186808.60929422258;841453.9015263428;3272169.553609468;754523.0206495472;113401.54128421185;2175887.1740972446;1136120.6067306201;0.0;57198.77702819181;0.0;605028.3247600944;694642.7060394215;2636575.5995800546;743832.0823660014;1313732.3375572606
Jambi;5557772.679375296;2980920.2024677773;695214.5336510823;0.0;227016.539696047;1581730.7868661296;371630.8996293883;1440642.5068697575;566842.4978862928;141491.95232576;3775931.08488263;216446.691844893;2284223.1115778578;2432118.5559033225;2015025.4250209918;193634.78254014094;44598.52258406477;356021.49224727316;8472112.24022056;41050.310678696296;59582.03068562001;271.6765476432556;40266.38481732784;5348154.751572452;1537652.9236442507;462866.84438756126;1898794.4561631759;4665399.0162981795;19999.71665173534;3096494.967051304;380971.0982067645;2170512.8470258955;7197427.560088452;956630.1062415654;8002924.934316327;280605.81533103395;21229.303103880626;538211.8411490958;2459504.115842521;13440537.638822058;5460796.218660918;569270.3234115824;2055746.8887352122;19003747.45204823;4135288.726610684;185062.2771794754;11216376.714356517;770558.2385610687;3607129.8074291;1815437.045290472;1814926.3683734233;4355514.651417164
Jawa Barat;30814247.153205805;72568776.9550573;304648.98417700763;812051.801119033;3506.030004371501;4210421.731166039;4075635.217095146;109024844.8774639;14462047.614388363;141203312.9414561;42738388.782025345;5183811.30009557;17082592.582245804;8445715.280862952;12699723.897951094;48570889.127554536;22710242.186321385;14107850.358684981;71290495.4560162;96567957.40499419;29239456.911375746;3418222.057673488;77378978.20475182;54569000.51269857;21794925.570266854;6586222.029964195;43183726.69980941;65518772.51171876;1911264.6467302914;36281408.64983467;2181714.0629346073;33351833.148712568;1791255.119418663;9278912.409061076;134082089.1676232;3864102.5304450206;11160088.521566877;9718338.77698725;58341599.110470936;225836279.43377745;51988916.222780675;7974819.703201657;24821045.347598992;11054494.724065099;0.0;940944.7096668428;24613486.183642287;10442876.438663257;32667303.856083985;44422824.37993075;19584280.825293325;94678831.05565399
Jawa Tengah;30084212.898875695;28635566.797342606;2045388.4615415926;636588.5908685449;116025.52802804005;6053747.171738504;1788681.427741904;2010860.8025396925;9379366.399530413;4332190.519218744;59654404.15424575;4123859.112450887;4562562.529062095;15265655.406570679;2823145.6396174137;19512364.38800655;6077556.279219939;3083701.5579284215;74329864.450054;2564105.260342998;6834785.571333283;102927926.49217814;19232597.159359887;34620966.23743692;15369560.319375062;3224670.4931773893;22517330.793393463;45170984.63563062;470056.2156220145;26675551.165145487;1970078.6276623071;7446304.288459625;5264998.774337363;6437340.917659404;98293400.65537868;1193570.8429776852;30377.890159448903;5675198.6681291545;33967986.536271915;113319090.22317412;27106476.22074706;2243969.043026042;11197628.991517194;12994341.562709061;0.0;0.0;4544153.578949691;17934868.295380183;38198786.339110665;47698459.76509735;24789810.26780556;34483664.024159305
