provinsi;Ekspor Antar Provinsi;Ekspor Luar Negeri;Impor Antar Provinsi;Impor Luar Negeri;Konsumsi LNPRT;Konsumsi Pemerintah;Konsumsi Rumah Tangga;Pembentukan Modal Tetap Bruto;Perubahan Inventori
Aceh;31991520.34221484;1444231.6856927157;-75080099.40979613;-4330061.194310533;2739831.0955639966;33109172.99821771;89035068.47291106;52792100.36150983;2852765.1882345285
Bali;50073617.133747175;71365348.6473365;-112572707.38837582;-14001521.180530535;2407213.4451810014;19887252.174163055;105441153.71212277;69063352.92962939;1162800.123364239
Banten;378521078.44021255;157771692.79833025;-255018248.83011568;-255744236.78052944;2387697.9425348192;25049570.13678296;376506670.7560544;162113444.19015378;11647109.387633568
Bengkulu;20719375.649630055;2899098.7895486704;-40085926.603853814;-951209.0172509046;1294674.8581219998;10594432.82816951;38001987.37235509;21422201.608083002;797258.6331648281
DI Yogyakarta;49843553.21151772;7218703.763843941;-75240332.12168491;-6214494.688119086;3226863.1007737387;16965057.70080888;86907257.56836426;37738904.4808247;-143017.94797589682
DKI Jakarta;814711616.0682867;335902561.6907639;-471732664.08426523;-898036085.4734828;40506628.000361994;235007774.91569138;1240026255.0049944;853571014.3834271;83605.41484207101
Gorontalo;4421617.300835897;112735.1623126927;-13174469.481159762;-1124645.2433119789;216672.4256879997;7271081.9456401635;20993101.388964072;10506680.91402599;672085.9110752683
Jambi;64450604.736312345;28149422.161391176;-81890417.52395493;-4185775.8913143175;889788.715465001;14090214.62290499;73906665.22788215;45824689.23163495;-272873.70216740604
Jawa Barat;487537376.00664496;359284933.1467044;-616797478.9396682;-199908581.8833501;9582662.152821265;97021720.89764586;1255214488.0290184;467418610.23968565;10201443.750294989
Jawa Tengah;356307470.06402594;92099155.11340845;-361983334.0254151;-153811653.91497618;12258481.79722001;84207531.87314446;665137184.4397154;346108818.4520677;8591128.266989872
Jawa Timur;737759726.0609329;251204339.21224716;-509791125.6430644;-279989347.26303315;22102203.742752004;101832094.21599123;1007529510.6508026;522200012.5899615;31259987.878985353
Kalimantan Barat;37148321.73000237;9154130.934823165;-81863356.66350521;-11506240.182912119;1764863.2426140003;20398929.583696567;90111311.77693698;65753481.40296651;139769.57771333226
Kalimantan Selatan;17745759.057307523;89023025.3579633;-68779143.55035566;-17273378.622945305;1457414.3684319986;19906161.700253315;79166283.93030877;40724116.657183;1300894.3505087749
Kalimantan Tengah;62070140.491776474;16723444.119577864;-84920000.75935349;-2126240.947919482;1511862.583052504;15730443.802744715;59760343.16597021;48488161.44943839;-857798.0953434588
Kalimantan Timur;157492852.63949254;245265603.86695543;-128630917.00244573;-59646606.2271314;2406272.1788874944;22470620.98654364;102257996.78737392;150009923.22474316;407452.40491128503
Kalimantan Utara;29009950.680837266;16833451.240877256;-32619413.650811836;-3136887.9680026057;548296.8015329994;6489228.701482872;18341857.617437396;28473395.63154971;186792.75816275697
Kep. Bangka Belitung;14989999.250122597;16589363.039230974;-24489455.112029858;-3224691.538924267;445104.7983649994;7337805.710076374;35254244.55522697;17702211.227970254;837184.3638787906
Kep. Riau;60218545.59308894;157195525.9023808;-81900902.10402387;-136144524.44327015;497301.1364129999;11290204.430365281;82881133.04490733;106243763.829101;2445168.0306934398
Lampung;81110696.22652696;39011310.73478965;-88562619.6415615;-41594946.99541077;3730052.2455789912;23496491.07889963;157660004.3979832;85500400.29390626;2267359.772524655
Maluku;18185085.014787003;2620635.7913859487;-34477274.79236647;-5506201.111834647;777753.8443760003;12668784.34124329;35734847.44335505;14340078.734947275;-2887.7863355862482
Maluku Utara;10838670.729621895;547700.860135697;-17844006.53510718;-3918864.9987471043;352335.82864200015;8935587.425978445;22410438.763329685;11544216.086445583;-34184.839110325294
Nusa Tenggara Barat;28112155.54270857;23040661.027939875;-57249868.82945904;-6710129.248215796;1633301.5230289989;17216930.182776757;72796134.00230473;41626719.1660898;839985.7196389688
Nusa Tenggara Timur;21828158.520398017;1583299.4214258036;-59644405.92196188;-2343851.009667135;2481449.2682850035;21441579.632740475;66380931.119389586;34380136.844117396;522528.452980268
Papua;29081853.652154777;28327060.485585816;-66541992.596752346;-11373772.08807249;3012455.2669810024;37111738.64796366;73706458.03486031;53950587.30047751;-910310.0328452386
Papua Barat;18652579.336510126;24621716.023496535;-24639431.391017854;-2326668.159106377;642970.4832679995;14245670.910676368;19585206.692053836;17271687.0666951;-191266.25605508208
Riau;207214652.676597;183385127.53287968;-176744721.43749487;-26314938.204484295;3093165.671270998;24578184.539924882;198771775.69270843;149793354.492234;152260.74288789072
Sulawesi Barat;10341878.573285718;4566831.175366818;-17418885.17414;-722279.3179756177;276796.3600380004;6525872.557140179;18175095.23908589;11056915.689012457;-205567.25057340902
Sulawesi Selatan;118250722.9320533;18334890.086673606;-128265905.7369461;-18568460.081204258;4544823.543563002;37747453.16233403;199898546.98167172;141475862.9758166;598664.3274999624
Sulawesi Tengah;54173763.95576277;21292998.99286608;-70992110.25795537;-17553895.73516977;2044200.2302303;16395065.198006721;53326575.837370604;55081429.118615694;250629.10437985035
Sulawesi Tenggara;31208290.007828526;1942842.2125922404;-42874436.44722024;-9555535.311171148;977502.6099379996;14265289.863288864;50903977.59341887;40458527.12467213;191624.51506873022
Sulawesi Utara;32685888.526505806;14895231.179017855;-41662550.0744479;-8125426.915072389;2037751.0732327006;14799051.889495473;55579540.13175886;38681703.7753454;371904.05064285593
Sumatera Barat;70022769.53735171;20717367.130495246;-105765578.07254982;-11433665.782281362;2152153.7937859977;23018868.81344589;121006705.08872196;65038192.456840895;188109.1499767046
Sumatera Selatan;153536939.19056872;29181225.19561948;-161040953.3118528;-19648836.193664543;5319992.083811002;27080970.729893055;224008677.14842367;138939057.48359537;-2954444.9813967533
Sumatera Utara;156478495.49094218;106396137.69306135;-206440991.25587517;-76584802.96884054;5624161.5342576485;45994579.191008635;323491573.96518517;193836665.5735419;10192798.016131248
