ID;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;Y
1;257;13643;27;0.77996186;0.962787375;5217;0.768745336;768;30006;6.3;4.7;1
2;24;13897;15;0.739377205;0.906120571;18025;0.290628646;2368;39954;7.3;5.3;1
3;1;760;1;0.5;1;3275;0.961748634;2542;43544;1.3;1.3;0
4;627;41160;97;0.706524479;0.997689674;2864;0.723218281;0;0;9.3;5;0
5;42;19002;38;0.749575628;0.964363356;2794;0.748128913;0;0;4;1;0
6;65;38253;43;0.77867868;1;1122;1;5;1719;17;14.7;1
7;209;76895;262;0.77159146;0.978412306;14061;0.675389199;0;0;24.7;9.7;0
8;11;12650;10;0.604488209;0.37551505;16131;0.144994221;0;0;10;5.3;0
9;16;2491;3;0.464285714;0.928571429;1892;1;405;18934;3.7;2;0
10;117;55057;121;0.779179065;1;4222;1;0;0;8.7;6;0
11;144;29560;66;0.743942846;1;2439;0.887820513;74;120;4.3;3.7;0
12;184;56162;57;0.763459359;0.998263889;6953;0.67357691;8;13;4.3;3;0
13;521;90652;166;0.763809743;0.999042146;3906;0.425169234;0;0;26.7;11.7;0
14;3;9835;7;0.779411765;0.426470588;16414;0.632110591;0;0;8.7;4;0
15;215;25307;42;0.726672877;0.9904712;4161;0.986666667;0;0;7.3;1.3;0
16;3;6603;4;0.650757576;0.843560606;18458;0.610820751;666;1080;5.7;4;0
17;296;37871;71;0.64447412;0.998263889;11492;0.978051318;2397;81693;12;11.3;1
18;1292;97429;174;0.72917907;0.988386186;19703;0.428594187;0;0;21.3;14.7;1
19;282;14040;28;0.670656566;0.91973064;4697;0.747404242;0;0;4.7;2.7;1
20;7;13811;5;0.814814815;1;1067;0.972222222;2889;4685;2.7;2.3;0
21;789;25931;53;0.820877758;0.944887943;397;0.592857143;2314;21811;7;3.3;0
22;16;14167;15;0.692964529;0.94982382;9281;0.400279326;548;33219;2.7;2;0
23;69;28361;48;0.757204961;0.978250863;16447;1;0;0;8.3;4.3;1
24;0;526;1;0.833333333;0.75;11681;0.224900435;281;24821;3;2;0
25;184;26208;138;0.77346499;0.982609057;4725;0.907051282;387;14529;7.7;5;0
26;71;10528;27;0.733976549;0.979643766;5889;0.90435318;158;256;4.3;2.7;0
