id,kab_kota,desa,lat,long,pendidikan_sd,pendidikan_smp,pendidikan_sma,pendidikan_pt,kesehatan_rs,keseharan_posyandu,kesehatan_puskesmas,klb_gizi,klb_diare,klb_dbd,klb_covid,sosial_tawuran,sosial_bundir_lk,sosial_bundir_pr,pemukiman_nonlistrik,pemukiman_kumuh,pemukiman_bantaran_sungai,bencana_banjir,bencana_longsor,ekonomi_umkm,ekonomi_koperasi,ekonomi_pasar
3201212001,Bogor,Malasari,6.67746815,106.531081,0,8,2,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
3201212004,Bogor,Bantar Karet,6.64141632,106.563222,2,9,1,0,0,13,1,0,0,0,0,0,0,0,0,0,50,0,2,12,1,2
3201212003,Bogor,Cisarua,6.63770635,106.551138,2,5,2,1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3201212002,Bogor,Curug Bitung,6.63216815,106.538256,2,6,2,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,2
3201212007,Bogor,Nanggung,6.60442808,106.538871,0,7,1,1,0,13,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,3
3201212009,Bogor,Pangkal Jaya,6.60674681,106.545471,1,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
3201212010,Bogor,Sukaluyu,6.57448522,106.568471,2,6,3,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
3201212005,Bogor,Hambaro,6.57554202,106.560458,2,7,1,0,0,12,1,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0
3201212006,Bogor,Kalong Liud,6.5759701,106.553506,1,6,4,0,0,12,0,2,0,0,0,0,0,0,0,0,24,0,0,9,0,2
3201212008,Bogor,Parakan Muncang,6.58240458,106.546028,2,6,2,2,0,11,1,0,0,0,0,0,0,0,0,0,12,0,0,11,0,3
3201212011,Bogor,Batu Tulis,6.57181867,106.550648,1,3,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2
3201142002,Bogor,Purasari,6.65548925,106.620103,2,10,4,1,0,14,0,0,0,0,3,0,0,0,0,0,200,0,2,12,0,1
3201142008,Bogor,Puraseda,6.65548925,106.620103,0,8,3,2,0,12,1,0,0,0,1,0,0,0,0,0,150,2,2,17,3,2
3201142003,Bogor,Karyasari,6.69442166,106.685054,4,9,1,3,0,10,0,0,2,5,4,0,0,0,0,0,0,0,3,15,0,0
